Tgl. Mohon,count,cumulative_sum,delta_count,rolling_7days,month,weekday,month_sin,month_cos,weekday_sin,weekday_cos
2021-01-04,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2021-01-06,0.5,0.025641025641025644,0.75,0.2727272727272727,0.0,0.3333333333333333,0.75,0.9330127018922194,1.0,0.3568958678922095
2021-01-07,0.0,0.03418803418803419,0.25,0.36363636363636365,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-01-14,0.0,0.042735042735042736,0.5,0.4545454545454545,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-01-21,0.0,0.051282051282051294,0.5,0.5454545454545454,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2021-02-01,0.0,0.05982905982905984,0.5,0.6363636363636364,0.09090909090909091,0.0,0.9330127018922193,0.75,0.5,1.0
2021-02-11,0.0,0.06837606837606838,0.5,0.7272727272727273,0.09090909090909091,0.5,0.9330127018922193,0.75,0.7225209339563144,5.551115123125783e-17
2021-02-26,0.25,0.08547008547008549,0.625,0.8181818181818182,0.09090909090909091,0.6666666666666666,0.9330127018922193,0.75,0.27747906604368566,0.0
2021-02-27,0.0,0.09401709401709403,0.375,0.6363636363636364,0.09090909090909091,0.8333333333333333,0.9330127018922193,0.75,0.0,0.3568958678922094
2021-03-10,0.0,0.10256410256410257,0.5,0.6363636363636364,0.1818181818181818,0.3333333333333333,1.0,0.5,1.0,0.3568958678922095
2021-03-20,0.0,0.11111111111111113,0.5,0.6363636363636364,0.1818181818181818,0.8333333333333333,1.0,0.5,0.0,0.3568958678922094
2021-04-10,0.0,0.11965811965811968,0.5,0.6363636363636364,0.2727272727272727,0.8333333333333333,0.9330127018922194,0.2500000000000001,0.0,0.3568958678922094
2021-04-12,1.0,0.1623931623931624,1.0,0.9999999999999999,0.2727272727272727,0.0,0.9330127018922194,0.2500000000000001,0.5,1.0
2021-04-16,0.0,0.17094017094017097,0.0,0.9999999999999999,0.2727272727272727,0.6666666666666666,0.9330127018922194,0.2500000000000001,0.27747906604368566,0.0
2021-04-21,0.0,0.17948717948717952,0.5,0.9090909090909091,0.2727272727272727,0.3333333333333333,0.9330127018922194,0.2500000000000001,1.0,0.3568958678922095
2021-04-23,0.0,0.18803418803418806,0.5,0.9090909090909091,0.2727272727272727,0.6666666666666666,0.9330127018922194,0.2500000000000001,0.27747906604368566,0.0
2021-04-27,0.0,0.1965811965811966,0.5,0.9090909090909091,0.2727272727272727,0.16666666666666666,0.9330127018922194,0.2500000000000001,0.9009688679024191,0.8019377358048384
2021-05-03,0.0,0.20512820512820515,0.5,0.9090909090909091,0.36363636363636365,0.0,0.75,0.06698729810778065,0.5,1.0
2021-05-04,0.0,0.2136752136752137,0.5,0.9090909090909091,0.36363636363636365,0.16666666666666666,0.75,0.06698729810778065,0.9009688679024191,0.8019377358048384
2021-05-17,0.0,0.22222222222222224,0.5,0.5454545454545454,0.36363636363636365,0.0,0.75,0.06698729810778065,0.5,1.0
2021-06-18,0.0,0.2307692307692308,0.5,0.5454545454545454,0.4545454545454545,0.6666666666666666,0.5000000000000001,0.0,0.27747906604368566,0.0
2021-06-24,0.0,0.23931623931623935,0.5,0.5454545454545454,0.4545454545454545,0.5,0.5000000000000001,0.0,0.7225209339563144,5.551115123125783e-17
2021-06-29,0.0,0.2478632478632479,0.5,0.5454545454545454,0.4545454545454545,0.16666666666666666,0.5000000000000001,0.0,0.9009688679024191,0.8019377358048384
2021-07-09,0.0,0.2564102564102564,0.5,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.2500000000000001,0.06698729810778059,0.27747906604368566,0.0
2021-07-22,0.0,0.26495726495726496,0.5,0.5454545454545454,0.5454545454545454,0.5,0.2500000000000001,0.06698729810778059,0.7225209339563144,5.551115123125783e-17
2021-08-10,0.25,0.28205128205128205,0.625,0.6363636363636364,0.6363636363636364,0.16666666666666666,0.06698729810778076,0.24999999999999978,0.9009688679024191,0.8019377358048384
2021-08-14,0.25,0.29914529914529914,0.5,0.7272727272727273,0.6363636363636364,0.8333333333333333,0.06698729810778076,0.24999999999999978,0.0,0.3568958678922094
2021-08-18,0.0,0.3076923076923077,0.375,0.7272727272727273,0.6363636363636364,0.3333333333333333,0.06698729810778076,0.24999999999999978,1.0,0.3568958678922095
2021-08-25,0.0,0.3162393162393162,0.5,0.7272727272727273,0.6363636363636364,0.3333333333333333,0.06698729810778076,0.24999999999999978,1.0,0.3568958678922095
2021-08-27,0.0,0.3247863247863248,0.5,0.7272727272727273,0.6363636363636364,0.6666666666666666,0.06698729810778076,0.24999999999999978,0.27747906604368566,0.0
2021-08-28,0.0,0.3333333333333333,0.5,0.7272727272727273,0.6363636363636364,0.8333333333333333,0.06698729810778076,0.24999999999999978,0.0,0.3568958678922094
2021-08-30,0.0,0.3418803418803419,0.5,0.7272727272727273,0.6363636363636364,0.0,0.06698729810778076,0.24999999999999978,0.5,1.0
2021-09-08,0.25,0.358974358974359,0.625,0.7272727272727273,0.7272727272727273,0.3333333333333333,0.0,0.4999999999999999,1.0,0.3568958678922095
2021-09-14,0.0,0.36752136752136755,0.375,0.6363636363636364,0.7272727272727273,0.16666666666666666,0.0,0.4999999999999999,0.9009688679024191,0.8019377358048384
2021-09-21,0.0,0.37606837606837606,0.5,0.6363636363636364,0.7272727272727273,0.16666666666666666,0.0,0.4999999999999999,0.9009688679024191,0.8019377358048384
2021-10-05,0.0,0.38461538461538464,0.5,0.6363636363636364,0.8181818181818182,0.16666666666666666,0.0669872981077807,0.75,0.9009688679024191,0.8019377358048384
2021-10-07,0.0,0.39316239316239315,0.5,0.6363636363636364,0.8181818181818182,0.5,0.0669872981077807,0.75,0.7225209339563144,5.551115123125783e-17
2021-10-09,0.25,0.4102564102564103,0.625,0.7272727272727273,0.8181818181818182,0.8333333333333333,0.0669872981077807,0.75,0.0,0.3568958678922094
2021-10-25,0.0,0.4188034188034188,0.375,0.7272727272727273,0.8181818181818182,0.0,0.0669872981077807,0.75,0.5,1.0
2021-10-26,0.0,0.4273504273504274,0.5,0.6363636363636364,0.8181818181818182,0.16666666666666666,0.0669872981077807,0.75,0.9009688679024191,0.8019377358048384
2021-11-17,0.25,0.4444444444444445,0.625,0.7272727272727273,0.9090909090909091,0.3333333333333333,0.24999999999999978,0.9330127018922192,1.0,0.3568958678922095
2021-11-24,0.0,0.452991452991453,0.375,0.7272727272727273,0.9090909090909091,0.3333333333333333,0.24999999999999978,0.9330127018922192,1.0,0.3568958678922095
2021-11-26,0.0,0.46153846153846156,0.5,0.7272727272727273,0.9090909090909091,0.6666666666666666,0.24999999999999978,0.9330127018922192,0.27747906604368566,0.0
2021-12-17,0.0,0.47008547008547014,0.5,0.7272727272727273,0.9999999999999999,0.6666666666666666,0.4999999999999999,1.0,0.27747906604368566,0.0
2021-12-23,0.0,0.47863247863247865,0.5,0.6363636363636364,0.9999999999999999,0.5,0.4999999999999999,1.0,0.7225209339563144,5.551115123125783e-17
2022-01-05,0.0,0.4871794871794872,0.5,0.6363636363636364,0.0,0.3333333333333333,0.75,0.9330127018922194,1.0,0.3568958678922095
2022-01-10,0.0,0.4957264957264958,0.5,0.6363636363636364,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2022-02-16,0.0,0.5042735042735044,0.5,0.5454545454545454,0.09090909090909091,0.3333333333333333,0.9330127018922193,0.75,1.0,0.3568958678922095
2022-02-27,0.0,0.5128205128205129,0.5,0.5454545454545454,0.09090909090909091,1.0,0.9330127018922193,0.75,0.0990311320975808,0.8019377358048383
2022-03-07,0.0,0.5213675213675214,0.5,0.5454545454545454,0.1818181818181818,0.0,1.0,0.5,0.5,1.0
2022-03-10,0.0,0.52991452991453,0.5,0.5454545454545454,0.1818181818181818,0.5,1.0,0.5,0.7225209339563144,5.551115123125783e-17
2022-03-12,0.0,0.5384615384615385,0.5,0.5454545454545454,0.1818181818181818,0.8333333333333333,1.0,0.5,0.0,0.3568958678922094
2022-03-14,0.0,0.5470085470085471,0.5,0.5454545454545454,0.1818181818181818,0.0,1.0,0.5,0.5,1.0
2022-03-24,0.0,0.5555555555555557,0.5,0.5454545454545454,0.1818181818181818,0.5,1.0,0.5,0.7225209339563144,5.551115123125783e-17
2022-04-11,0.0,0.5641025641025642,0.5,0.5454545454545454,0.2727272727272727,0.0,0.9330127018922194,0.2500000000000001,0.5,1.0
2022-04-20,0.0,0.5726495726495727,0.5,0.5454545454545454,0.2727272727272727,0.3333333333333333,0.9330127018922194,0.2500000000000001,1.0,0.3568958678922095
2022-04-30,0.25,0.5897435897435899,0.625,0.6363636363636364,0.2727272727272727,0.8333333333333333,0.9330127018922194,0.2500000000000001,0.0,0.3568958678922094
2022-05-18,0.0,0.5982905982905984,0.375,0.6363636363636364,0.36363636363636365,0.3333333333333333,0.75,0.06698729810778065,1.0,0.3568958678922095
2022-05-25,0.0,0.6068376068376069,0.5,0.6363636363636364,0.36363636363636365,0.3333333333333333,0.75,0.06698729810778065,1.0,0.3568958678922095
2022-09-03,0.0,0.6153846153846155,0.5,0.6363636363636364,0.7272727272727273,0.8333333333333333,0.0,0.4999999999999999,0.0,0.3568958678922094
2022-09-15,0.0,0.623931623931624,0.5,0.6363636363636364,0.7272727272727273,0.5,0.0,0.4999999999999999,0.7225209339563144,5.551115123125783e-17
2022-09-16,0.0,0.6324786324786326,0.5,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.0,0.4999999999999999,0.27747906604368566,0.0
2022-09-27,0.0,0.6410256410256411,0.5,0.6363636363636364,0.7272727272727273,0.16666666666666666,0.0,0.4999999999999999,0.9009688679024191,0.8019377358048384
2022-09-28,0.0,0.6495726495726497,0.5,0.5454545454545454,0.7272727272727273,0.3333333333333333,0.0,0.4999999999999999,1.0,0.3568958678922095
2022-09-29,0.0,0.6581196581196582,0.5,0.5454545454545454,0.7272727272727273,0.5,0.0,0.4999999999999999,0.7225209339563144,5.551115123125783e-17
2022-10-07,0.0,0.6666666666666667,0.5,0.5454545454545454,0.8181818181818182,0.6666666666666666,0.0669872981077807,0.75,0.27747906604368566,0.0
2022-10-17,0.0,0.6752136752136753,0.5,0.5454545454545454,0.8181818181818182,0.0,0.0669872981077807,0.75,0.5,1.0
2022-10-21,0.0,0.6837606837606839,0.5,0.5454545454545454,0.8181818181818182,0.6666666666666666,0.0669872981077807,0.75,0.27747906604368566,0.0
2022-10-31,0.0,0.6923076923076924,0.5,0.5454545454545454,0.8181818181818182,0.0,0.0669872981077807,0.75,0.5,1.0
2022-11-12,0.0,0.7008547008547009,0.5,0.5454545454545454,0.9090909090909091,0.8333333333333333,0.24999999999999978,0.9330127018922192,0.0,0.3568958678922094
2022-11-14,0.0,0.7094017094017095,0.5,0.5454545454545454,0.9090909090909091,0.0,0.24999999999999978,0.9330127018922192,0.5,1.0
2022-11-29,0.25,0.7264957264957266,0.625,0.6363636363636364,0.9090909090909091,0.16666666666666666,0.24999999999999978,0.9330127018922192,0.9009688679024191,0.8019377358048384
2022-12-01,0.0,0.7350427350427351,0.375,0.6363636363636364,0.9999999999999999,0.5,0.4999999999999999,1.0,0.7225209339563144,5.551115123125783e-17
2022-12-03,0.0,0.7435897435897437,0.5,0.6363636363636364,0.9999999999999999,0.8333333333333333,0.4999999999999999,1.0,0.0,0.3568958678922094
2022-12-07,0.0,0.7521367521367522,0.5,0.6363636363636364,0.9999999999999999,0.3333333333333333,0.4999999999999999,1.0,1.0,0.3568958678922095
2022-12-10,0.0,0.7606837606837608,0.5,0.6363636363636364,0.9999999999999999,0.8333333333333333,0.4999999999999999,1.0,0.0,0.3568958678922094
2023-01-04,0.25,0.7777777777777779,0.625,0.7272727272727273,0.0,0.3333333333333333,0.75,0.9330127018922194,1.0,0.3568958678922095
2023-01-05,0.25,0.7948717948717949,0.5,0.8181818181818182,0.0,0.5,0.75,0.9330127018922194,0.7225209339563144,5.551115123125783e-17
2023-01-06,0.0,0.8034188034188036,0.375,0.7272727272727273,0.0,0.6666666666666666,0.75,0.9330127018922194,0.27747906604368566,0.0
2023-01-09,0.0,0.8119658119658121,0.5,0.7272727272727273,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2023-01-21,0.0,0.8205128205128206,0.5,0.7272727272727273,0.0,0.8333333333333333,0.75,0.9330127018922194,0.0,0.3568958678922094
2023-01-25,0.0,0.8290598290598292,0.5,0.7272727272727273,0.0,0.3333333333333333,0.75,0.9330127018922194,1.0,0.3568958678922095
2023-01-30,0.0,0.8376068376068377,0.5,0.7272727272727273,0.0,0.0,0.75,0.9330127018922194,0.5,1.0
2023-02-15,0.0,0.8461538461538463,0.5,0.6363636363636364,0.09090909090909091,0.3333333333333333,0.9330127018922193,0.75,1.0,0.3568958678922095
2023-02-22,0.0,0.8547008547008548,0.5,0.5454545454545454,0.09090909090909091,0.3333333333333333,0.9330127018922193,0.75,1.0,0.3568958678922095
2023-02-28,0.25,0.8717948717948719,0.625,0.6363636363636364,0.09090909090909091,0.16666666666666666,0.9330127018922193,0.75,0.9009688679024191,0.8019377358048384
2023-03-04,0.0,0.8803418803418804,0.375,0.6363636363636364,0.1818181818181818,0.8333333333333333,1.0,0.5,0.0,0.3568958678922094
2023-03-06,0.0,0.8888888888888891,0.5,0.6363636363636364,0.1818181818181818,0.0,1.0,0.5,0.5,1.0
2023-03-13,0.0,0.8974358974358976,0.5,0.6363636363636364,0.1818181818181818,0.0,1.0,0.5,0.5,1.0
2023-03-17,0.25,0.9145299145299146,0.625,0.7272727272727273,0.1818181818181818,0.6666666666666666,1.0,0.5,0.27747906604368566,0.0
2023-03-25,0.25,0.9316239316239318,0.5,0.8181818181818182,0.1818181818181818,0.8333333333333333,1.0,0.5,0.0,0.3568958678922094
2023-04-01,0.0,0.9401709401709403,0.375,0.8181818181818182,0.2727272727272727,0.8333333333333333,0.9330127018922194,0.2500000000000001,0.0,0.3568958678922094
2023-04-03,0.0,0.9487179487179489,0.5,0.7272727272727273,0.2727272727272727,0.0,0.9330127018922194,0.2500000000000001,0.5,1.0
2023-04-04,0.0,0.9572649572649574,0.5,0.7272727272727273,0.2727272727272727,0.16666666666666666,0.9330127018922194,0.2500000000000001,0.9009688679024191,0.8019377358048384
2023-04-06,0.0,0.9658119658119659,0.5,0.7272727272727273,0.2727272727272727,0.5,0.9330127018922194,0.2500000000000001,0.7225209339563144,5.551115123125783e-17
2023-04-27,0.0,0.9743589743589745,0.5,0.7272727272727273,0.2727272727272727,0.5,0.9330127018922194,0.2500000000000001,0.7225209339563144,5.551115123125783e-17
2023-05-06,0.25,0.9914529914529915,0.625,0.7272727272727273,0.36363636363636365,0.8333333333333333,0.75,0.06698729810778065,0.0,0.3568958678922094
2023-05-31,0.0,1.0000000000000002,0.375,0.6363636363636364,0.36363636363636365,0.3333333333333333,0.75,0.06698729810778065,1.0,0.3568958678922095
