Tgl. Mohon,count,cumulative_sum
2021-01-04,2,2
2021-01-11,4,6
2021-01-18,1,7
2021-01-25,1,8
2021-02-01,1,9
2021-02-08,0,9
2021-02-15,1,10
2021-02-22,0,10
2021-03-01,3,13
2021-03-08,0,13
2021-03-15,24,37
2021-03-22,1,38
2021-03-29,0,38
2021-04-05,0,38
2021-04-12,6,44
2021-04-19,1,45
2021-04-26,2,47
2021-05-03,2,49
2021-05-10,1,50
2021-05-17,1,51
2021-05-24,0,51
2021-05-31,0,51
2021-06-07,0,51
2021-06-14,0,51
2021-06-21,1,52
2021-06-28,1,53
2021-07-05,1,54
2021-07-12,1,55
2021-07-19,0,55
2021-07-26,1,56
2021-08-02,0,56
2021-08-09,0,56
2021-08-16,32,88
2021-08-23,1,89
2021-08-30,4,93
2021-09-06,0,93
2021-09-13,2,95
2021-09-20,1,96
2021-09-27,1,97
2021-10-04,0,97
2021-10-11,4,101
2021-10-18,0,101
2021-10-25,1,102
2021-11-01,1,103
2021-11-08,0,103
2021-11-15,0,103
2021-11-22,2,105
2021-11-29,2,107
2021-12-06,2,109
2021-12-13,0,109
2021-12-20,1,110
2021-12-27,1,111
2022-01-03,0,111
2022-01-10,6,117
2022-01-17,0,117
2022-01-24,0,117
2022-01-31,0,117
2022-02-07,0,117
2022-02-14,0,117
2022-02-21,7,124
2022-02-28,2,126
2022-03-07,1,127
2022-03-14,3,130
2022-03-21,1,131
2022-03-28,1,132
2022-04-04,0,132
2022-04-11,5,137
2022-04-18,0,137
2022-04-25,1,138
2022-05-02,2,140
2022-05-09,0,140
2022-05-16,0,140
2022-05-23,1,141
2022-05-30,1,142
2022-06-06,0,142
2022-06-13,0,142
2022-06-20,0,142
2022-06-27,0,142
2022-07-04,0,142
2022-07-11,0,142
2022-07-18,0,142
2022-07-25,0,142
2022-08-01,0,142
2022-08-08,0,142
2022-08-15,0,142
2022-08-22,0,142
2022-08-29,0,142
2022-09-05,9,151
2022-09-12,0,151
2022-09-19,2,153
2022-09-26,0,153
2022-10-03,56,209
2022-10-10,1,210
2022-10-17,1,211
2022-10-24,1,212
2022-10-31,2,214
2022-11-07,0,214
2022-11-14,3,217
2022-11-21,0,217
2022-11-28,0,217
2022-12-05,4,221
2022-12-12,2,223
2022-12-19,0,223
2022-12-26,11,234
2023-01-02,10,244
2023-01-09,6,250
2023-01-16,0,250
2023-01-23,1,251
2023-01-30,2,253
2023-02-06,8,261
2023-02-13,0,261
2023-02-20,1,262
2023-02-27,1,263
2023-03-06,4,267
2023-03-13,2,269
2023-03-20,8,277
2023-03-27,2,279
2023-04-03,2,281
2023-04-10,2,283
2023-04-17,0,283
2023-04-24,0,283
2023-05-01,1,284
2023-05-08,2,286
2023-05-15,0,286
2023-05-22,0,286
2023-05-29,2,288
2023-06-05,13,301
2023-06-12,0,301
2023-06-19,5,306
2023-06-26,3,309
2023-07-03,2,311
2023-07-10,0,311
2023-07-17,3,314
2023-07-24,23,337
2023-07-31,20,357
2023-08-07,0,357
2023-08-14,1,358
2023-08-21,0,358
2023-08-28,1,359
2023-09-04,1,360
2023-09-11,1,361
2023-09-18,1,362
2023-09-25,1,363
2023-10-02,2,365
2023-10-09,1,366
2023-10-16,3,369
2023-10-23,0,369
2023-10-30,2,371
2023-11-06,2,373
2023-11-13,0,373
2023-11-20,3,376
2023-11-27,1,377
2023-12-04,3,380
2023-12-11,0,380
2023-12-18,1,381
2023-12-25,0,381
2024-01-01,1,382
2024-01-08,0,382
2024-01-15,1,383
2024-01-22,0,383
2024-01-29,0,383
2024-02-05,0,383
2024-02-12,2,385
2024-02-19,1,386
2024-02-26,3,389
2024-03-04,3,392
2024-03-11,2,394
2024-03-18,2,396
2024-03-25,0,396
2024-04-01,2,398
2024-04-08,0,398
2024-04-15,0,398
2024-04-22,0,398
2024-04-29,1,399
2024-05-06,0,399
2024-05-13,1,400
2024-05-20,0,400
2024-05-27,16,416
2024-06-03,4,420
2024-06-10,1,421
2024-06-17,0,421
2024-06-24,0,421
2024-07-01,1,422
2024-07-08,0,422
2024-07-15,1,423
2024-07-22,0,423
2024-07-29,0,423
2024-08-05,0,423
2024-08-12,0,423
2024-08-19,0,423
2024-08-26,0,423
2024-09-02,3,426
