Tgl. Mohon,count,cumulative_sum
2021-01-11,6,6
2021-01-18,7,13
2021-01-25,8,21
2021-02-01,9,30
2021-02-08,4,34
2021-02-15,6,40
2021-02-22,5,45
2021-03-01,5,50
2021-03-08,6,56
2021-03-15,3,59
2021-03-22,4,63
2021-03-29,2,65
2021-04-05,6,71
2021-04-12,6,77
2021-04-19,2,79
2021-04-26,8,87
2021-05-03,3,90
2021-05-10,6,96
2021-05-17,5,101
2021-05-24,0,101
2021-05-31,6,107
2021-06-07,5,112
2021-06-14,3,115
2021-06-21,6,121
2021-06-28,6,127
2021-07-05,5,132
2021-07-12,5,137
2021-07-19,1,138
2021-07-26,4,142
2021-08-02,2,144
2021-08-09,9,153
2021-08-16,5,158
2021-08-23,5,163
2021-08-30,3,166
2021-09-06,11,177
2021-09-13,4,181
2021-09-20,6,187
2021-09-27,5,192
2021-10-04,7,199
2021-10-11,10,209
2021-10-18,5,214
2021-10-25,4,218
2021-11-01,6,224
2021-11-08,6,230
2021-11-15,6,236
2021-11-22,4,240
2021-11-29,5,245
2021-12-06,5,250
2021-12-13,9,259
2021-12-20,9,268
2021-12-27,3,271
2022-01-03,8,279
2022-01-10,16,295
2022-01-17,8,303
2022-01-24,8,311
2022-01-31,5,316
2022-02-07,7,323
2022-02-14,3,326
2022-02-21,0,326
2022-02-28,0,326
2022-03-07,0,326
2022-03-14,10,336
2022-03-21,3,339
2022-03-28,5,344
2022-04-04,4,348
2022-04-11,2,350
2022-04-18,2,352
2022-04-25,10,362
2022-05-02,10,372
2022-05-09,0,372
2022-05-16,5,377
2022-05-23,1,378
2022-05-30,3,381
2022-06-06,4,385
2022-06-13,2,387
2022-06-20,3,390
2022-06-27,0,390
2022-07-04,2,392
2022-07-11,3,395
2022-07-18,4,399
2022-07-25,2,401
2022-08-01,4,405
2022-08-08,5,410
2022-08-15,3,413
2022-08-22,1,414
2022-08-29,0,414
2022-09-05,0,414
2022-09-12,0,414
2022-09-19,2,416
2022-09-26,4,420
2022-10-03,2,422
2022-10-10,0,422
2022-10-17,0,422
2022-10-24,0,422
2022-10-31,1,423
2022-11-07,0,423
2022-11-14,0,423
2022-11-21,0,423
2022-11-28,0,423
2022-12-05,0,423
2022-12-12,0,423
2022-12-19,0,423
2022-12-26,0,423
2023-01-02,1,424
2023-01-09,0,424
2023-01-16,2,426
2023-01-23,0,426
2023-01-30,0,426
2023-02-06,0,426
2023-02-13,0,426
2023-02-20,0,426
2023-02-27,0,426
2023-03-06,0,426
2023-03-13,1,427
2023-03-20,1,428
2023-03-27,1,429
2023-04-03,1,430
2023-04-10,1,431
2023-04-17,0,431
2023-04-24,0,431
2023-05-01,0,431
2023-05-08,0,431
2023-05-15,0,431
2023-05-22,0,431
2023-05-29,1,432
2023-06-05,0,432
2023-06-12,2,434
2023-06-19,0,434
2023-06-26,0,434
2023-07-03,0,434
2023-07-10,0,434
2023-07-17,1,435
2023-07-24,0,435
2023-07-31,0,435
2023-08-07,1,436
2023-08-14,0,436
2023-08-21,0,436
2023-08-28,1,437
2023-09-04,0,437
2023-09-11,0,437
2023-09-18,0,437
2023-09-25,0,437
2023-10-02,0,437
2023-10-09,0,437
2023-10-16,1,438
2023-10-23,0,438
2023-10-30,0,438
2023-11-06,0,438
2023-11-13,0,438
2023-11-20,0,438
2023-11-27,2,440
2023-12-04,0,440
2023-12-11,0,440
2023-12-18,0,440
2023-12-25,0,440
2024-01-01,0,440
2024-01-08,0,440
2024-01-15,0,440
2024-01-22,1,441
2024-01-29,0,441
2024-02-05,0,441
2024-02-12,0,441
2024-02-19,0,441
2024-02-26,0,441
2024-03-04,0,441
2024-03-11,0,441
2024-03-18,0,441
2024-03-25,0,441
2024-04-01,1,442
2024-04-08,1,443
2024-04-15,0,443
2024-04-22,0,443
2024-04-29,0,443
2024-05-06,0,443
2024-05-13,0,443
2024-05-20,0,443
2024-05-27,0,443
2024-06-03,0,443
2024-06-10,2,445
2024-06-17,0,445
2024-06-24,0,445
2024-07-01,0,445
2024-07-08,1,446
2024-07-15,0,446
2024-07-22,0,446
2024-07-29,0,446
2024-08-05,1,447
