Tgl. Mohon,count,cumulative_sum
2021-01-04,7,7
2021-01-11,26,33
2021-01-18,10,43
2021-01-25,19,62
2021-02-01,11,73
2021-02-08,9,82
2021-02-15,17,99
2021-02-22,14,113
2021-03-01,24,137
2021-03-08,14,151
2021-03-15,15,166
2021-03-22,14,180
2021-03-29,16,196
2021-04-05,17,213
2021-04-12,23,236
2021-04-19,21,257
2021-04-26,18,275
2021-05-03,18,293
2021-05-10,31,324
2021-05-17,16,340
2021-05-24,11,351
2021-05-31,8,359
2021-06-07,25,384
2021-06-14,20,404
2021-06-21,15,419
2021-06-28,14,433
2021-07-05,12,445
2021-07-12,8,453
2021-07-19,6,459
2021-07-26,17,476
2021-08-02,10,486
2021-08-09,11,497
2021-08-16,16,513
2021-08-23,9,522
2021-08-30,16,538
2021-09-06,24,562
2021-09-13,35,597
2021-09-20,25,622
2021-09-27,27,649
2021-10-04,21,670
2021-10-11,24,694
2021-10-18,20,714
2021-10-25,27,741
2021-11-01,19,760
2021-11-08,18,778
2021-11-15,23,801
2021-11-22,27,828
2021-11-29,16,844
2021-12-06,30,874
2021-12-13,23,897
2021-12-20,28,925
2021-12-27,10,935
2022-01-03,9,944
2022-01-10,29,973
2022-01-17,11,984
2022-01-24,21,1005
2022-01-31,16,1021
2022-02-07,17,1038
2022-02-14,17,1055
2022-02-21,15,1070
2022-02-28,26,1096
2022-03-07,18,1114
2022-03-14,33,1147
2022-03-21,20,1167
2022-03-28,20,1187
2022-04-04,14,1201
2022-04-11,54,1255
2022-04-18,28,1283
2022-04-25,41,1324
2022-05-02,33,1357
2022-05-09,1,1358
2022-05-16,32,1390
2022-05-23,7,1397
2022-05-30,14,1411
2022-06-06,20,1431
2022-06-13,16,1447
2022-06-20,16,1463
2022-06-27,14,1477
2022-07-04,18,1495
2022-07-11,22,1517
2022-07-18,20,1537
2022-07-25,7,1544
2022-08-01,20,1564
2022-08-08,15,1579
2022-08-15,12,1591
2022-08-22,44,1635
2022-08-29,20,1655
2022-09-05,38,1693
2022-09-12,32,1725
2022-09-19,47,1772
2022-09-26,42,1814
2022-10-03,25,1839
2022-10-10,31,1870
2022-10-17,27,1897
2022-10-24,43,1940
2022-10-31,25,1965
2022-11-07,25,1990
2022-11-14,37,2027
2022-11-21,31,2058
2022-11-28,33,2091
2022-12-05,45,2136
2022-12-12,39,2175
2022-12-19,25,2200
2022-12-26,22,2222
2023-01-02,6,2228
2023-01-09,50,2278
2023-01-16,22,2300
2023-01-23,41,2341
2023-01-30,35,2376
2023-02-06,31,2407
2023-02-13,31,2438
2023-02-20,44,2482
2023-02-27,50,2532
2023-03-06,33,2565
2023-03-13,31,2596
2023-03-20,39,2635
2023-03-27,33,2668
2023-04-03,39,2707
2023-04-10,22,2729
2023-04-17,42,2771
2023-04-24,38,2809
2023-05-01,30,2839
2023-05-08,38,2877
2023-05-15,36,2913
2023-05-22,33,2946
2023-05-29,33,2979
2023-06-05,52,3031
2023-06-12,48,3079
2023-06-19,35,3114
2023-06-26,38,3152
2023-07-03,40,3192
2023-07-10,40,3232
2023-07-17,61,3293
2023-07-24,41,3334
2023-07-31,45,3379
2023-08-07,29,3408
2023-08-14,51,3459
2023-08-21,32,3491
2023-08-28,24,3515
2023-09-04,32,3547
2023-09-11,42,3589
2023-09-18,30,3619
2023-09-25,24,3643
2023-10-02,28,3671
2023-10-09,23,3694
2023-10-16,28,3722
2023-10-23,26,3748
2023-10-30,29,3777
2023-11-06,29,3806
2023-11-13,38,3844
2023-11-20,42,3886
2023-11-27,22,3908
2023-12-04,28,3936
2023-12-11,26,3962
2023-12-18,33,3995
2023-12-25,31,4026
2024-01-01,32,4058
2024-01-08,34,4092
2024-01-15,36,4128
2024-01-22,34,4162
2024-01-29,37,4199
2024-02-05,33,4232
2024-02-12,36,4268
2024-02-19,28,4296
2024-02-26,39,4335
2024-03-04,31,4366
2024-03-11,29,4395
2024-03-18,42,4437
2024-03-25,30,4467
2024-04-01,56,4523
2024-04-08,46,4569
2024-04-15,20,4589
2024-04-22,31,4620
2024-04-29,30,4650
2024-05-06,34,4684
2024-05-13,42,4726
2024-05-20,36,4762
2024-05-27,28,4790
2024-06-03,25,4815
2024-06-10,36,4851
2024-06-17,25,4876
2024-06-24,22,4898
2024-07-01,37,4935
2024-07-08,28,4963
2024-07-15,14,4977
2024-07-22,29,5006
2024-07-29,22,5028
2024-08-05,22,5050
2024-08-12,19,5069
2024-08-19,25,5094
2024-08-26,22,5116
2024-09-02,14,5130
