Tgl. Mohon,count,cumulative_sum
2022-08-01,1,1
2022-08-08,1,2
2022-08-15,1,3
2022-08-22,0,3
2022-08-29,0,3
2022-09-05,0,3
2022-09-12,0,3
2022-09-19,1,4
2022-09-26,2,6
2022-10-03,2,8
2022-10-10,0,8
2022-10-17,6,14
2022-10-24,2,16
2022-10-31,3,19
2022-11-07,3,22
2022-11-14,5,27
2022-11-21,8,35
2022-11-28,4,39
2022-12-05,8,47
2022-12-12,7,54
2022-12-19,3,57
2022-12-26,2,59
2023-01-02,1,60
2023-01-09,7,67
2023-01-16,2,69
2023-01-23,4,73
2023-01-30,4,77
2023-02-06,1,78
2023-02-13,4,82
2023-02-20,2,84
2023-02-27,7,91
2023-03-06,5,96
2023-03-13,4,100
2023-03-20,6,106
2023-03-27,3,109
2023-04-03,3,112
2023-04-10,1,113
2023-04-17,3,116
2023-04-24,5,121
2023-05-01,4,125
2023-05-08,4,129
2023-05-15,4,133
2023-05-22,2,135
2023-05-29,2,137
2023-06-05,2,139
2023-06-12,5,144
2023-06-19,5,149
2023-06-26,4,153
2023-07-03,4,157
2023-07-10,3,160
2023-07-17,2,162
2023-07-24,3,165
2023-07-31,3,168
2023-08-07,0,168
2023-08-14,9,177
2023-08-21,1,178
2023-08-28,1,179
2023-09-04,1,180
2023-09-11,1,181
2023-09-18,2,183
2023-09-25,2,185
2023-10-02,2,187
2023-10-09,1,188
2023-10-16,2,190
2023-10-23,5,195
2023-10-30,3,198
2023-11-06,4,202
2023-11-13,6,208
2023-11-20,7,215
2023-11-27,5,220
2023-12-04,2,222
2023-12-11,0,222
2023-12-18,2,224
2023-12-25,4,228
2024-01-01,4,232
2024-01-08,1,233
2024-01-15,6,239
2024-01-22,11,250
2024-01-29,5,255
2024-02-05,4,259
2024-02-12,1,260
2024-02-19,3,263
2024-02-26,1,264
2024-03-04,0,264
2024-03-11,8,272
2024-03-18,5,277
2024-03-25,12,289
2024-04-01,4,293
2024-04-08,5,298
2024-04-15,1,299
2024-04-22,3,302
2024-04-29,2,304
2024-05-06,6,310
2024-05-13,8,318
2024-05-20,8,326
2024-05-27,6,332
2024-06-03,8,340
2024-06-10,7,347
2024-06-17,6,353
2024-06-24,2,355
2024-07-01,10,365
2024-07-08,7,372
2024-07-15,5,377
2024-07-22,21,398
2024-07-29,18,416
2024-08-05,24,440
2024-08-12,24,464
2024-08-19,23,487
2024-08-26,21,508
2024-09-02,25,533
